id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
7776,60,3947,0,https://magiceden.io/item-details/6qFemyXtQZEpRuUPG6cPvagBkTMXBzPf7aMh4i9GBt8J,Base Background,Leather Jacket,Cat Eyes Red,Green Hair,No Trait,Zipper Mask,Aurory Necklace,Human,Aurorian
7812,139,593,0,https://magiceden.io/item-details/ADhtsjTDeg5Yig6Zz4R55syg8uCU8e7ha6x2NtVtqfsz,Base Background,Black Hoodie,No Trait,Combed Haircut,No Trait,Zipper Mask,Shark Necklace,Zombie,Aurorian
7817,125.42069,842,0,https://magiceden.io/item-details/DZzxL9jcqMhqY8DYxJSvbApHw9C3aLD8xuxRv3GjVjKD,Lagoon,Leather Jacket,Black Eyes,Brown Dreadlocks,No Trait,Zipper Mask,No Trait,Human,Aurorian
7863,70,2843,0,https://solanart.io/nft/Ez2GDjqiF4T427B15cTpsxKbM2fu5iBRAwumd4g3GAki,Base Background,Pink Stripes,Green,Zero Two Hair,No Trait,Barely Angry,Aurory Necklace,Human,Aurorian
7882,69.42,6426,0,https://magiceden.io/item-details/9Qyk8chJxMwH4wKnbkpbJtGgWbBtr7XAXyXAxYJd5wVd,Base Background,Base Cloth,Aurory Glasses,Blond Hair Attached,No Trait,Base Mouth,Shark Necklace,Human,Aurorian
7894,60,3701,0,https://magiceden.io/item-details/7Rq1o7cG4bEQjW61Vw2frbSJ4TtWHV4bpt9eF4WmWF7Y,Base Background,Base Cloth,Heart Glasses,Pigtails,No Trait,Lollipop,Solana Necklace,Human,Aurorian
7947,58,4343,0,https://magiceden.io/item-details/2kxwuWaB7jsUuphKNAjHZwpNsHPiCQ3NFP1yLV2KGraE,Base Background,Jean Jacket,Green,Green Hair,No Trait,Big Smile,No Trait,Human,Aurorian
7947,58,4343,0,https://solanart.io/nft/2kxwuWaB7jsUuphKNAjHZwpNsHPiCQ3NFP1yLV2KGraE,Base Background,Jean Jacket,Green,Green Hair,No Trait,Big Smile,No Trait,Human,Aurorian
8000,65,5843,0,https://solanart.io/nft/7hE2gRswZRjzff8U3dP74YG5x2t2CeHtEw4jCuLk71Kz,Base Background,Base Cloth,Cat Eyes Red,No Trait,Raccoon Hat,Cat Mask,No Trait,Human,Aurorian
8004,75,8554,0,https://magiceden.io/item-details/FudwTgeY2ZTQaXsAEnFUNhiaiFww1okE64Kg6CoeHAh7,Base Background,Polo,Base Eyes,Blob Hair,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
8034,69.42,5071,0,https://magiceden.io/item-details/EA4eRvP7yd8cCJWdHXv7SApKTYRCkYjaYpmCkGEmXrtq,Base Background,Jacket,Viper Shades,Undercut,No Trait,Zipper Mask,Aurory Necklace,Human,Aurorian
8049,300,83,0,https://magiceden.io/item-details/67eAZy6ejT6GyviKhAd4R4hyKyufrhYkAaxZemcFgZEN,Lagoon,Black T-Shirt,Black Eyes,Clementine Hair,Dragon Hat,Big Smile,No Trait,Human,Aurorian
8054,169,121,0,https://magiceden.io/item-details/8Ftwdc1mBKJanz57qocZV54FLrk68dNYLbABjUEUjy3P,Blue,No Trait,No Trait,Combed Haircut,No Trait,Lollipop,Flower Necklace,Solana Blob,Aurorian
8085,88.88,9757,0,https://magiceden.io/item-details/HRtirSktTSiEt5BcuMXbHk7ZpjEBBXYeFgjuYioHZME9,Base Background,Base Cloth,Base Eyes,No Trait,Big Crown,Base Mouth,Aurory Necklace,Human,Aurorian
8103,147.5,4488,0,https://magiceden.io/item-details/8uG158GqGq7NwryxbNQ8Xj7eZfsXRpiLoqfF3QK7Wh88,Base Background,Base Cloth,Base Eyes,No Trait,Dinobit Hat,Steampunk Mask,No Trait,Human,Aurorian
8115,52,6600,0,https://magiceden.io/item-details/H1QRmqW9fjfLC3hPZQwvLMNF9VgrQH3PBLaiLQtb38df,Base Background,Base Cloth,Aave Glasses,No Trait,Crown,Base Mouth,Flower Necklace,Human,Aurorian
8118,75,3964,0,https://solanart.io/nft/J6CMSHmiaBoy5LP257ome9EW2jY4HW7hFPJqSHSXeRKQ,Gradient Blue,Base Cloth,Green Eyes,No Trait,Beret Hat,Base Mouth,Shark Necklace,Human,Aurorian
8129,71,4100,0,https://magiceden.io/item-details/9W7t28crGLaviGk36pqudqmDsd2kLVbgWWRnqUFUADRR,Base Background,Classy Outfit,Black Eyes,Purple Dreadlocks,No Trait,Cat Mask,No Trait,Human,Aurorian
