id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
6084,2.8,6060,74.15,https://magiceden.io/item-details/EpsaWhduMPx7k8Z9aSmXjnM3LN3dMEYPLwmDNTrA7W9b,,Purple Disco Aura,,#20cecb,,02,07,15,Brown Flip Flops,blonde,14,,Plain White Baggy Pants,02,orc,
6148,3.5,4689,72.66,https://magiceden.io/item-details/CFoXDkTp71c5iReierdiLxv2QUqBXSWp3kacCPWPjKEv,,Formal Diamonds and Coins Aura,,#9641ff,,03,06,05,White and Teal Skate Shoes,grey,07,,Plain White Baggy Pants,03,catfolk,05
6227,3.5,6723,64.48,https://magiceden.io/item-details/77PesxguZmECprFVqhsLzTA58mj7dtaxGXhhg1GKgy1Q,,Gamers Robot A Aura,,#ffd864,,02,05,09,Pink Flip Flops,blonde,14,,White Leggings,01,orc,
6387,3.269,4252,76.72,https://magiceden.io/item-details/FX8xYkBfB82WxZpRRwpbvaxy5Q5KnwjXZ3ikCaVSnVgx,,Gamers Robot B Aura,,#85e8a9,,02,04,25,Green Flip Flops,grey,33,,Green Pants,01,catfolk,01
6399,3.99,3523,72.44,https://magiceden.io/item-details/76acrFGMFJdpsryJ7wbf2MJgtJkW1CBTr5vqDgiLb8Ck,,School Fireworks C Aura,,#20cecb,,01,14,27,Black Boots,red,36,,Black Bikini Bottoms,01,catfolk,01
6430,3,9954,56.5,https://magiceden.io/item-details/DV185VjSTdRBcB9VwQihkvPZpRxwee3L195XD1c78Hke,,Controllers Aura,,#232234,,03,19,10,Brown Flip Flops,blonde,37,,Brown Pants,01,orc,
6512,4.44,1021,78,https://magiceden.io/item-details/5RNQoUzgVZN8szoadPTtrPAuWuGGta13WZrfuTBGBthL,,Silver Stars Aura,,#ff8599,,02,07,22,Red Flip Flops,black,22,,Gray Shorts,01,human,
6568,4.45,NaN,0,https://magiceden.io/item-details/Ej9xUPxnVdJsxpnV39vjs7WUeFmCRAX4XwTkodAjbwx2,,,,,,,,,,,,,,,,
6589,2.89,8991,61.47,https://magiceden.io/item-details/8nQkwHRnh6EzdyufKSwMKFdpjVuhs9Z1QFWks6nwtXnd,,Pink Sparkles Aura,,#232234,,03,01,05,Pink Flip Flops,brown,14,,Black Leggings,03,human,
6592,3,2556,86.23,https://magiceden.io/item-details/DjVCEG3t7UxzH1A4SPJCTbFXqXN1b4df12KwqPv8BbTm,,Bubbles Aura,,#215ae8,,02,19,27,Brown School Shoes with White Socks,grey,21,,Gray Shorts,01,elf,
