id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
1745,100,5416,0,https://solanart.io/nft/HUZx5RbMiQiZexoWB3ST9ok3oxQUUFz1v2CKbM5Njdvw,Orange,,Jacket All Black,Stud Silver,Red Laser Eyes,Pink,,Sailor Hat,Squigly Mouth,
1758,7.99,9676,16.29,https://magiceden.io/item-details/6YodjJn41ANWJkEQiZ86czKhizrWgiFvVTuzziw1vHNe,Light Red,,Polo Red,Stud Silver,Angry Eyes,Dark Brown,Masquerade,Backwards Hat,Sideways Smile Mouth,
1762,4.2,6771,65.84,https://magiceden.io/item-details/GHMbHKC5LuoJpypuaEFT8oZKnhoJvupWgR4MkwyMibv,Light Grey,,Leather Jacket,Cross Silver,Solana Eyes,Black,3d Glasses,Pirate Hat,Bored Mouth,
1764,7,7520,34.84,https://solanart.io/nft/634XngkpVY32RUkyTnQbWEGSQtKEAU6LSBCWoVeVtR4i,Rainbow,,Plain White Tee,Stud Silver,X eyes,Pink,Clubmaster,Beanie Blue,Sideways Smile Mouth,
1772,555,1263,0,https://solanart.io/nft/6vKiiQTMWRVnaR8DQEZWg3AS8JJSwaEJNvWYAS821Yna,Navy,,Hyperbeast Jacket,Ruby,Round Eye,Grey,Wayfarer,Beanie Orange,Sherlock pipe,
1779,10,8000,2.91,https://magiceden.io/item-details/9DuyCcog1oTMTZA61zhHMPsqpRtoJzS5ZUKzzoax9XH,Orange,,Jacket Navy Tee White,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,MMCC Cap,Bacon Strip,
1813,10000,6433,0,https://solanart.io/nft/HxmGxN8YzEhxGZwGCE3VRg6iWkthhamUi74aDhYxes3n,Light Red,,Polo Red,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Spinner Hat,Mouth Juul,
1828,60,5557,0,https://solanart.io/nft/DewydWbBQ2tadDviM9GezkcjAA9fyWoc6h5KwV5vdQR9,Light Red,,Polo Red,Stud Silver,Justin Sun Eyes,Dark Brown,,Backwards Hat,Sideways Smile Mouth,
1849,12.5,7976,0,https://magiceden.io/item-details/2gsv6uncFw7o5Dz8tNhhED4Wc5d58kAzLhATaZYHqW2A,Light Red,,Plain White Tee,Cross Gold,Round Eye,Grey,Masquerade,Beanie Blue,Smile mouth,
1854,10,7644,4.34,https://magiceden.io/item-details/DAAsteTUQScJxWwPZ4UfWqJ8h65y5pHezMpYVsBWa3mH,Navy,,Robe Black,Cross Silver,Closed eyes,Black,Burberry Glasses,Bucket Hat,Bored Mouth,
1894,13.99,5256,0,https://magiceden.io/item-details/6bp8k7gYcVp4V2QQpZh8eYMfGpWZrrXg6yguxEP7PyrL,Light Grey,,Sailor Top,Cross Silver,Solana Eyes,Black,Burberry Glasses,Mohawk,Bored Mouth,
1903,5.1,8439,50.15,https://solanart.io/nft/G4a8f6mSVv7RDXn4yCUmmaxv9ivpJfRQAYkQkMFcC8nL,Gold,,Polo Blue,Cross Silver,Closed eyes,Black,Burberry Glasses,Top Hat,Smile mouth,
1910,9,7666,14.25,https://magiceden.io/item-details/3e1xaZUgw7JFQr5pRm3p7392RdXvqhzgHPx8HcJZGgTB,Light Red,,Medical Robe,Ruby,Round Eye,Grey,Masquerade,Blue Visor,Sideways Smile Mouth,
1910,9,7666,14.25,https://solanart.io/nft/3e1xaZUgw7JFQr5pRm3p7392RdXvqhzgHPx8HcJZGgTB,Light Red,,Medical Robe,Ruby,Round Eye,Grey,Masquerade,Blue Visor,Sideways Smile Mouth,
1912,10,7910,3.27,https://solanart.io/nft/13MWz8QedDYgSc8yfmkmYmxgefb5HsC5vvnbmpCdQG9A,Light Red,,Medical Robe,Cross Silver,Closed eyes,Tiger,Burberry Glasses,Blue Visor,Sideways Smile Mouth,
1915,11.78,7190,0,https://magiceden.io/item-details/HqjdPfsHWJwGsDUFiiCeJamzvwtVsE2pJoqYahoSgkzP,Light Red,,Buttoned Shirt,Stud Silver,Flames Eyes,Blue,,Backwards Hat,Sideways Smile Mouth,
1967,7.7,4793,38.78,https://magiceden.io/item-details/Ai34KkY1v6PCL2bAhDxCxc1cRnfdhwzJUfjbtD1JuPqs,Light Grey,,Polo Blue,Cross Silver,Closed eyes,Black,,Face Shield,Covid Mask Mouth,
1985,40,6809,0,https://solanart.io/nft/EZC3ZihH8Y3UZ42LCvgfsDGL5A76U3A8Uaay4Fqf3WvS,Light Red,,Plain White Tee,Stud Silver,Bored Eyes,Brown,Clout Goggles,Blue Visor,Sideways Smile Mouth,Degen Ape Necklace
2009,75,816,0,https://solanart.io/nft/3zhGbkKSsfAkrN2CtDX6wJ7ormsh9u48PUq2EqmbdW2y,Light Green,,Jacket All Black,,Angry Eyes,Pink,,Daft Punk Gold Helmet,Squigly Mouth,
2011,8.75,5954,23.62,https://magiceden.io/item-details/4G1eQzT6Q9jGeng6cj4LSCgsmT7LJAk9RSKHxsyjpXm8,Rainbow,,Wack Donalds Shirt,Stud Silver,Hypnotic eyes,Dark Brown,Clubmaster,Coffee Hat,Tongue Out,
2044,3.7,9499,59.9,https://magiceden.io/item-details/3f4jKoc9NnBZecMyxcNa59vmrqGiwjd2JrRDwsDTvruh,Orange,,Wack Donalds Shirt,Stud Silver,Angry Eyes,Dark Brown,Masquerade,Fisherman Cap,Smile mouth,
2075,13,5937,0,https://magiceden.io/item-details/FRQp2qkZbPbEL5ZziyM2V1SKTu51iijRuHVEnkj3mtVV,Light Grey,,Sailor Top,Ruby,Closed eyes,Black,Burberry Glasses,MMCC Cap,Smile mouth,
2081,4.8,7650,56.32,https://magiceden.io/item-details/J2cHemDD31QuZiAyBp8EAQhN2s6eTYmXjURi6a5RUiZU,Light Green,,Tie Dye Tee,Stud Silver,Bored Eyes,Brown,Clout Goggles,Beanie Red,Angry Mouth,
2097,8.99,697,42.3,https://magiceden.io/item-details/9W6LaUY2hVn9BVRVZATDWWewMbxG8vmioDP8VJzqx3XT,Light Green,Ruby,Hoodie White,Stud Silver,Red Laser Eyes,Dark Brown,,Gatsby Hat,Squigly Mouth,
2105,6,5091,54.58,https://magiceden.io/item-details/H8tVXjZew9sg5NmrBrFy7773PMohHMNugruWdKKZLj6w,Light Grey,,Robe Green,Cross Silver,Closed eyes,Black,Burberry Glasses,Mohawk,Covid Mask Mouth,
2152,4.9,4719,67.07,https://magiceden.io/item-details/9tzjUkBD4nd5Fz5Juc1p1wqbBqatKurETVDm5ULAahGV,Light Blue,,Turtle Neck,Stud Silver,Bored Eyes,Cheetah,Eye Patch,Beanie Blue,Angry Mouth,
2173,3.6,5562,76.69,https://magiceden.io/item-details/4699qCFDXUmj5MurrGgGCiypBkMhRUy8g2npEWVhKKZp,Orange,,Jacket Brown Tee White,Solana Silver Stud,Red Laser Eyes,Dark Brown,,Coffee Hat,Squigly Mouth,
2182,12,8315,0,https://magiceden.io/item-details/Hms413x3ECXc5ZgbbMuxTepR6gbJZm7KBzDkhGsCfh2R,Light Grey,,Hoodie Green,Cross Silver,Closed eyes,Black,Burberry Glasses,Sailor Hat,Covid Mask Mouth,
2198,5.5,1209,75.15,https://magiceden.io/item-details/AnAQ8Ci4WStiT5P8hVmgo6quK3qFc981BMS4F5a67U3Y,Gold,,Medical Robe,Solana Silver Stud,X eyes,Brown,Round Glasses,Bowl Cut,Mouth Juul,
